crop,temperature,rainfall,N,P,K,ph,humidity,fertilizer_used,irrigation_used,yield_tons_per_ha
cassava,17.56,623.17,137.6,39.3,80.3,5.457,23.43,1,0,3.038
wheat,39.83,546.36,48.2,23.8,139.9,7.703,22.71,1,1,2.26
wheat,12.22,1270.31,134.5,61.8,50.0,3.626,34.41,1,1,1.462
cotton,15.35,901.3,131.8,90.5,127.3,8.287,42.66,1,1,1.179
cotton,36.09,956.83,0.2,54.4,176.6,3.678,14.28,0,1,0.819
cassava,24.04,1123.75,116.6,110.1,33.8,7.543,20.91,1,0,4.723
soybeans,26.67,1246.16,70.6,133.3,130.6,8.962,26.75,1,1,1.188
maize,20.73,910.98,80.6,27.6,99.3,7.098,63.04,0,1,2.515
cassava,35.16,1125.59,130.3,28.2,33.9,7.019,66.84,1,1,3.906
maize,19.07,426.04,27.2,13.1,73.5,5.257,97.11,1,0,2.32
cotton,17.21,940.02,87.0,11.5,126.6,5.934,78.28,1,1,1.405
maize,22.25,590.4,36.4,106.3,104.2,4.027,32.94,1,0,2.202
cotton,20.94,863.01,61.4,45.1,24.1,9.297,14.98,0,1,1.05
maize,19.14,167.33,56.4,29.3,144.0,5.75,97.9,1,1,2.381
maize,35.17,66.56,98.5,140.8,92.5,5.027,74.62,1,1,2.44
maize,32.46,510.5,0.0,76.6,14.4,5.295,74.8,0,1,1.703
wheat,24.08,1141.97,110.6,74.9,24.2,5.979,94.16,0,0,1.529
cassava,21.0,444.77,63.6,118.0,96.3,9.004,99.03,0,0,5.355
soybeans,33.52,1350.95,61.4,37.8,87.4,8.155,23.41,0,0,1.098
rice,12.17,263.81,10.3,118.7,155.5,8.397,75.6,1,0,2.396
soybeans,25.02,759.86,63.9,33.8,156.1,6.434,96.43,0,1,1.606
cotton,33.18,1066.31,19.5,97.1,158.3,7.221,90.78,0,0,0.966
soybeans,30.68,151.08,120.4,113.9,54.0,8.492,15.09,0,0,0.62
cotton,15.58,1000.65,63.9,91.8,52.9,6.324,32.08,1,0,1.229
rice,24.94,713.57,72.6,24.6,107.6,5.076,29.85,0,1,2.475
rice,35.45,79.58,84.6,43.8,177.5,5.342,73.06,1,0,3.05
soybeans,36.16,376.31,66.8,23.6,84.0,4.651,45.27,0,1,1.176
soybeans,12.68,164.09,59.7,137.4,48.5,5.169,22.68,1,1,1.433
cassava,33.07,563.62,97.2,136.8,130.1,4.465,72.45,0,1,4.464
cotton,18.26,912.56,50.5,123.2,148.3,4.153,67.71,0,0,0.929
maize,28.64,1092.14,15.5,10.0,203.9,5.013,18.63,0,0,1.426
soybeans,33.36,1290.35,61.0,57.9,154.5,9.434,78.92,0,1,1.103
soybeans,23.01,713.08,77.1,19.8,203.3,5.087,31.08,1,1,1.537
maize,29.53,822.79,45.4,51.6,138.9,9.962,70.92,1,1,2.403
cassava,30.23,1045.04,91.4,63.2,25.0,9.423,57.66,1,1,4.14
cotton,14.92,1019.76,95.8,45.2,10.5,4.799,48.38,0,0,1.091
rice,24.12,338.45,84.2,13.5,87.7,7.053,51.5,1,1,3.837
wheat,24.8,1192.37,69.3,65.1,7.3,7.192,24.73,1,0,1.882
cassava,28.78,280.23,28.9,143.9,155.6,9.753,39.44,0,1,7.001
maize,27.41,251.84,62.2,92.7,102.8,6.112,99.47,1,1,2.906
wheat,35.27,419.53,139.6,54.7,82.3,4.294,72.5,0,1,1.488
soybeans,38.23,379.37,54.5,89.9,156.1,9.361,92.73,1,0,1.211
wheat,35.36,1106.78,81.1,49.8,44.6,6.221,38.67,0,1,1.574
maize,20.2,1100.91,9.1,49.1,112.9,8.64,41.41,1,1,1.709
maize,13.46,928.17,16.4,52.2,33.6,7.998,31.74,0,1,2.027
soybeans,11.05,104.02,3.7,108.5,68.6,8.676,51.13,1,1,1.126
wheat,11.13,791.66,29.9,77.7,33.2,6.294,65.42,0,0,1.343
rice,22.0,268.22,70.5,117.2,93.3,6.689,86.99,1,0,3.594
soybeans,18.75,228.72,112.8,6.3,67.5,4.634,64.66,0,0,0.747
maize,19.36,1172.29,108.2,78.0,200.2,4.316,15.46,1,1,2.531
soybeans,25.2,97.35,9.7,41.1,113.8,8.307,66.03,0,0,1.218
wheat,13.73,1063.74,118.0,7.8,51.7,9.644,47.13,1,0,1.569
maize,11.88,1364.33,19.5,79.5,87.2,5.758,91.39,0,1,1.467
cassava,11.56,193.98,98.2,56.5,139.3,8.906,87.33,0,0,6.275
wheat,14.33,968.56,56.7,70.1,165.3,5.661,26.64,1,0,2.079
cassava,31.21,462.41,37.4,128.1,37.5,3.919,37.15,1,0,6.146
maize,28.39,1417.46,33.7,22.0,44.5,9.265,69.54,0,1,1.331
wheat,38.54,682.29,60.1,99.9,158.5,6.591,32.4,1,0,1.965
maize,36.92,952.81,136.3,70.1,174.5,3.906,42.83,0,1,2.145
soybeans,32.84,430.6,34.3,140.2,6.6,9.218,31.18,1,0,1.854
cassava,20.97,115.94,82.5,106.1,159.7,4.474,52.2,0,1,10.159
rice,17.7,909.83,131.0,99.9,87.9,7.982,43.58,0,1,1.368
wheat,21.36,1137.16,59.9,99.7,108.4,5.115,66.16,1,1,2.129
rice,20.01,508.88,108.4,12.3,7.6,8.671,55.03,0,0,2.475
maize,32.87,1227.12,47.9,65.7,174.7,5.861,82.28,1,1,2.411
cotton,28.29,1366.25,81.5,29.0,187.7,7.931,74.13,1,0,1.195
rice,37.92,406.34,80.8,43.4,169.8,3.535,62.57,0,0,2.822
soybeans,23.74,235.01,60.6,22.8,105.5,7.148,43.05,0,1,1.414
wheat,29.3,1473.39,21.8,46.5,77.5,5.623,35.67,1,1,1.132
rice,13.9,1030.48,120.2,139.8,130.7,4.697,23.09,1,1,1.405
cotton,36.02,918.36,106.9,139.0,133.8,9.887,40.81,0,0,1.166
wheat,34.05,943.35,22.0,124.4,130.5,8.749,80.57,0,0,1.162
rice,24.66,924.67,45.6,142.7,138.5,3.785,42.09,1,0,1.267
cotton,24.11,1077.51,58.3,129.6,201.7,7.854,88.29,1,1,1.386
wheat,32.49,224.85,72.3,67.2,67.2,8.921,53.92,0,0,1.533
wheat,38.42,296.87,16.9,9.7,77.8,5.695,51.05,1,1,1.318
cotton,10.14,977.48,121.8,99.1,77.5,9.729,90.84,1,1,1.193
cassava,21.46,1049.65,83.8,12.4,20.7,3.635,45.89,1,0,3.814
rice,18.5,50.35,17.8,135.7,178.5,5.018,80.94,1,1,2.894
cotton,25.79,565.1,83.5,141.9,204.5,8.536,48.77,1,0,1.246
soybeans,25.12,1041.01,82.3,122.9,61.9,7.241,24.6,1,1,1.324
maize,38.43,154.86,133.7,78.2,64.9,4.0,57.05,1,1,1.989
rice,35.39,705.87,59.4,26.9,90.3,6.993,15.94,1,1,2.574
soybeans,21.79,1284.59,126.9,75.9,123.8,8.103,85.62,0,1,0.439
wheat,11.18,1367.62,102.3,43.0,104.4,3.681,43.18,1,1,1.452
rice,36.45,797.03,108.5,83.7,115.5,4.246,24.85,1,0,1.828
maize,24.68,1125.38,69.0,72.6,172.6,5.849,87.94,1,0,2.323
maize,36.82,1422.36,125.0,63.7,161.1,6.596,56.79,0,1,1.855
cassava,15.63,297.56,121.8,63.8,135.9,6.776,76.55,1,0,8.126
cotton,24.7,864.28,58.2,15.1,89.6,8.639,83.22,1,0,1.226
rice,26.89,1418.47,0.5,38.3,192.7,4.612,23.74,1,1,1.14
soybeans,14.49,378.18,65.6,64.5,62.8,4.619,79.55,1,1,1.605
rice,29.21,1322.36,58.5,132.5,203.6,4.19,34.04,1,1,1.513
wheat,10.01,1060.64,78.7,34.4,51.6,8.771,57.16,1,0,1.458
wheat,18.09,194.79,121.1,46.5,143.9,8.831,91.52,0,1,1.846
cotton,26.19,1484.44,49.0,140.2,24.2,8.261,23.83,0,1,1.315
cassava,33.37,865.01,139.1,68.8,147.8,8.652,56.49,1,1,3.005
cotton,13.47,1271.81,139.0,56.3,95.7,8.126,94.6,1,0,0.975
rice,29.62,1024.74,0.7,142.9,180.6,9.318,70.7,0,1,1.016
maize,16.29,1466.01,90.4,135.8,65.7,8.582,79.86,1,1,1.806
rice,34.74,655.68,10.2,43.3,201.0,7.376,75.04,0,1,1.989
soybeans,18.08,1238.01,99.5,142.4,147.3,6.219,74.11,1,1,0.968
cassava,12.96,862.95,16.8,34.6,39.4,3.937,71.73,1,1,3.544
wheat,24.57,836.13,107.3,60.1,93.0,6.977,47.92,1,1,2.159
soybeans,31.53,936.39,25.0,57.7,98.6,6.226,29.33,1,1,2.338
wheat,19.69,718.86,76.0,24.9,146.6,9.239,37.91,0,1,2.212
wheat,29.02,706.16,85.5,120.1,41.1,8.02,81.72,1,0,1.897
rice,11.71,902.31,117.6,7.4,14.8,7.223,84.48,0,0,1.105
cotton,12.27,1087.1,103.0,144.6,158.8,5.987,61.92,0,0,0.943
cassava,14.73,960.06,126.1,105.6,74.7,7.318,40.73,1,1,3.809
maize,39.23,1278.24,3.3,130.8,161.6,8.572,53.39,0,0,1.104
soybeans,20.92,237.19,63.9,43.0,75.4,4.113,50.82,1,0,1.287
cotton,12.61,1347.95,110.5,141.1,126.7,6.894,58.63,0,0,0.948
cassava,31.98,210.37,29.7,141.6,150.3,9.448,40.13,1,1,10.272
maize,11.2,472.62,29.1,38.3,186.7,6.542,54.1,1,0,1.981
soybeans,38.36,932.33,35.6,134.4,160.1,7.234,73.83,1,1,1.957
maize,31.31,505.81,66.0,120.0,96.9,5.826,56.5,1,0,2.805
rice,33.34,604.43,62.0,57.7,78.5,6.919,83.56,0,1,1.932
cotton,31.61,1006.3,107.3,85.5,57.2,9.43,15.57,0,1,1.184
cotton,20.66,874.85,36.0,66.6,61.2,4.299,41.68,1,0,1.222
soybeans,10.4,1272.92,131.9,96.8,51.3,5.136,54.13,1,0,0.489
soybeans,34.44,570.83,81.3,15.4,40.0,9.283,66.35,1,1,1.35
wheat,12.53,1237.21,47.8,123.9,203.4,5.766,25.12,0,1,1.365
cotton,30.58,82.37,7.6,79.6,43.2,7.611,61.49,1,0,0.812
maize,20.37,1350.34,66.4,98.5,39.5,4.75,17.51,0,0,1.85
cotton,25.88,988.65,38.6,117.0,139.0,7.727,50.19,1,0,1.22
rice,24.59,720.8,109.9,120.0,115.9,4.669,54.23,1,1,2.364
cotton,35.57,1244.67,124.9,136.7,94.4,7.766,47.58,0,0,0.974
rice,14.38,1243.36,32.9,96.3,86.0,7.374,23.24,0,1,1.012
wheat,11.55,1019.36,38.2,7.8,18.3,9.722,43.76,1,1,1.657
maize,24.58,886.94,6.1,22.2,116.7,5.731,76.71,1,1,2.09
wheat,37.34,611.65,48.8,33.6,184.5,4.914,68.75,1,0,1.713
cassava,39.71,992.76,17.8,75.9,110.8,6.844,62.98,0,1,3.506
cotton,36.97,714.2,61.6,29.5,198.7,4.885,30.42,1,0,1.256
soybeans,26.12,282.19,1.1,64.2,32.4,4.543,20.61,0,1,1.148
soybeans,12.15,186.7,81.6,12.2,72.4,8.396,39.31,1,1,1.142
soybeans,20.78,1393.73,97.8,41.0,117.8,6.965,25.86,1,0,0.82
wheat,28.5,437.08,37.4,125.8,7.6,4.68,66.47,1,0,2.024
soybeans,36.83,739.04,132.3,35.0,19.8,9.294,86.9,1,1,0.655
rice,28.03,1079.22,133.1,39.2,154.2,6.885,37.1,1,1,1.658
soybeans,21.17,1175.77,83.4,95.2,156.5,4.267,85.66,1,1,1.071
rice,36.25,487.11,13.2,111.2,126.2,7.207,18.61,0,1,2.23
maize,11.79,926.32,106.9,78.3,50.4,7.832,20.89,1,0,2.22
maize,37.89,1254.4,135.1,22.4,151.2,9.599,29.59,0,1,1.648
cotton,10.95,678.44,98.6,68.6,97.0,7.854,35.88,1,0,1.161
wheat,12.7,721.77,115.1,32.2,23.2,5.641,47.45,0,0,1.965
wheat,30.03,568.51,65.0,82.7,165.4,4.873,48.29,0,0,1.926
cotton,35.53,1140.13,92.7,64.0,151.1,8.207,68.31,1,0,1.38
wheat,27.96,980.47,114.3,45.4,201.3,6.357,39.45,0,1,1.775
wheat,27.81,460.99,93.7,24.8,152.2,7.697,97.53,1,0,2.216
cotton,23.47,337.03,12.2,105.5,183.9,9.589,67.15,0,1,0.803
rice,27.7,340.89,40.2,27.7,54.9,4.962,58.67,1,1,3.656
rice,38.07,1372.7,29.3,10.5,153.3,8.879,97.24,1,1,1.236
wheat,34.79,1106.49,26.5,112.7,74.5,6.948,66.39,1,1,1.465
soybeans,30.15,614.29,68.3,143.6,47.8,6.216,39.1,1,1,1.724
cotton,38.62,703.69,18.2,20.4,134.5,6.345,22.13,1,1,1.239
soybeans,33.3,957.48,57.3,40.6,176.9,8.051,61.11,1,0,1.316
cassava,24.31,1306.3,3.1,100.1,114.6,4.602,84.3,0,0,2.728
cassava,27.26,703.54,78.9,27.0,176.2,9.412,52.67,0,0,3.257
cotton,24.11,314.38,83.6,102.0,98.7,4.135,54.3,0,1,1.005
cotton,30.08,764.64,97.7,9.8,157.5,3.717,53.16,0,1,1.134
soybeans,36.61,645.72,52.0,46.6,35.5,4.398,25.38,0,0,1.411
maize,35.65,350.26,10.0,14.7,193.2,6.795,49.21,1,1,1.838
soybeans,24.87,1311.98,108.6,16.8,183.1,6.566,77.97,0,1,0.666
cassava,31.74,695.71,8.5,116.7,12.0,8.054,15.97,1,0,3.433
cotton,11.94,994.44,135.9,120.8,199.9,8.996,87.55,1,1,1.208
wheat,12.63,716.01,132.6,131.1,145.3,7.331,38.14,0,0,1.694
wheat,38.56,960.07,53.3,115.9,65.9,4.647,60.78,1,1,1.516
rice,19.28,699.56,56.8,142.8,63.4,5.416,44.49,1,0,2.266
rice,23.44,447.9,55.0,59.3,62.4,5.246,88.05,0,1,2.818
rice,22.69,870.34,51.2,136.1,16.0,7.877,90.65,1,0,1.609
rice,21.28,1146.65,75.6,15.8,8.6,4.165,49.3,1,1,1.594
cotton,30.02,650.44,95.2,61.2,27.8,8.173,84.87,1,0,1.326
rice,16.48,906.76,127.8,116.7,189.3,9.86,14.92,1,0,1.186
cotton,31.49,1334.56,0.0,101.3,158.4,4.865,56.11,0,1,0.911
wheat,21.47,407.26,84.9,142.9,108.5,6.267,45.67,1,0,2.312
wheat,34.32,1371.4,10.2,110.9,56.1,4.64,65.7,1,0,1.014
maize,32.5,1373.91,80.1,30.3,58.8,4.791,35.23,0,1,1.746
rice,27.5,1332.3,21.2,88.7,137.9,6.226,74.29,1,1,1.35
maize,15.45,1367.25,81.7,61.1,97.4,9.657,27.19,1,1,2.022
cotton,19.56,666.42,112.6,17.5,176.9,5.523,14.12,0,0,1.055
rice,11.9,240.98,120.2,93.7,55.6,7.109,59.37,1,0,3.5
rice,34.3,395.52,31.4,75.6,57.2,3.559,69.75,1,0,2.677
soybeans,32.57,594.01,68.0,62.0,135.1,5.815,96.88,1,1,1.911
cotton,36.22,275.23,115.2,40.7,90.5,9.359,53.09,0,0,0.992
soybeans,18.18,54.9,100.8,121.7,84.0,7.167,33.58,1,0,0.944
rice,34.83,670.12,83.4,17.6,72.5,4.083,96.69,1,0,2.155
wheat,28.42,61.89,100.7,83.2,101.9,6.253,58.68,0,0,1.548
cassava,20.25,1441.02,111.8,69.2,45.0,8.772,27.52,0,0,3.066
soybeans,36.66,723.34,72.3,51.6,60.3,7.764,24.31,1,1,1.364
cassava,13.61,1311.94,131.5,16.0,74.8,9.729,21.15,1,1,3.09
rice,31.42,1390.75,72.4,21.4,110.6,4.325,64.95,1,1,1.693
wheat,30.31,789.19,132.0,60.8,51.0,5.623,87.34,1,0,2.01
cassava,12.47,1117.12,76.5,138.5,41.6,7.439,32.2,1,1,3.958
wheat,11.18,193.07,14.1,41.7,54.2,8.324,63.26,1,0,1.624
maize,15.59,1136.59,76.4,33.6,63.4,8.366,55.5,0,1,1.937
cassava,25.33,771.02,8.5,90.0,166.7,8.369,31.46,1,0,3.375
soybeans,25.91,1070.92,36.4,136.9,111.0,8.904,45.39,0,1,1.45
wheat,22.65,541.66,84.5,35.7,51.0,6.882,49.2,0,0,1.932
soybeans,24.57,174.66,118.1,105.5,193.7,8.008,94.87,1,1,0.74
maize,32.04,84.72,81.9,136.8,39.9,6.566,21.86,1,1,2.434
cassava,39.69,752.04,65.5,95.3,116.1,7.622,89.16,1,0,4.343
cotton,29.12,1444.2,136.7,104.0,155.9,7.162,79.0,1,0,1.066
rice,14.22,1089.12,61.2,61.5,32.4,6.794,24.88,1,1,1.487
cassava,17.57,1475.95,42.5,50.3,202.9,4.371,79.41,1,1,4.75
maize,23.19,203.21,89.7,35.2,128.9,7.726,27.07,0,1,2.069
maize,12.45,1316.69,128.9,13.6,60.4,8.74,78.35,0,0,1.773
rice,31.41,350.89,79.6,126.5,91.4,9.783,52.89,0,0,3.007
rice,39.29,1434.27,112.0,38.8,18.6,5.56,36.94,1,1,1.658
wheat,12.42,955.92,121.5,122.4,79.6,8.344,50.76,1,1,1.919
maize,22.55,1402.46,121.2,11.3,10.3,5.947,83.71,1,0,2.481
cassava,35.79,907.05,126.3,101.4,199.2,6.814,68.93,1,0,3.7
soybeans,33.31,1193.44,99.1,40.6,177.4,9.307,30.7,0,1,0.761
rice,35.37,552.09,91.6,104.3,122.2,5.822,63.63,0,0,2.82
soybeans,20.33,1055.92,106.3,124.4,199.6,5.233,75.58,0,1,0.814
maize,30.94,827.34,43.3,118.9,141.9,4.557,92.34,1,1,2.651
rice,11.85,285.62,125.3,101.0,55.0,3.926,73.39,1,0,3.054
cotton,20.93,1235.28,13.7,100.2,63.7,8.67,48.59,1,1,1.139
wheat,13.93,927.07,139.9,24.4,89.8,8.573,16.77,1,0,1.697
cotton,12.06,260.45,76.5,13.7,181.2,4.424,71.96,0,0,0.764
soybeans,18.87,147.19,125.4,101.9,29.3,3.923,97.84,1,0,0.582
rice,21.16,87.47,31.0,114.3,45.2,4.02,54.8,0,0,2.407
soybeans,31.9,358.73,11.0,43.8,54.8,5.025,30.58,1,0,1.513
cotton,24.66,654.46,116.0,70.1,64.1,8.537,87.48,1,1,1.223
wheat,27.52,725.66,76.0,118.2,127.5,7.706,97.54,1,0,2.317
soybeans,23.19,1169.24,72.3,90.4,149.7,3.663,63.08,1,0,1.17
maize,31.07,571.26,41.1,118.3,167.0,9.136,92.54,1,1,2.635
wheat,37.55,840.78,44.8,50.3,31.4,6.576,82.06,1,1,1.692
maize,22.91,509.57,60.8,113.3,125.4,9.301,52.13,1,1,3.215
wheat,23.92,1146.9,81.8,12.5,183.0,5.486,25.86,0,1,1.79
maize,29.7,398.58,26.8,133.6,25.4,6.789,32.99,0,0,1.912
cotton,28.04,1174.23,63.8,93.2,148.3,9.744,28.19,1,0,1.191
soybeans,29.11,806.65,60.8,31.9,102.6,6.108,82.42,1,0,1.82
soybeans,32.43,626.31,29.5,78.0,189.3,7.658,28.87,1,0,1.819
cassava,39.49,134.1,81.7,53.9,173.7,5.848,36.4,1,0,11.499
rice,12.52,1038.21,95.2,98.7,193.5,8.85,17.61,1,0,1.316
cotton,39.1,1481.95,89.9,129.2,45.1,5.1,95.95,0,0,1.222
maize,17.83,547.91,116.8,136.0,42.1,5.921,93.86,0,0,2.264
soybeans,28.09,1499.72,69.0,34.2,37.6,3.775,62.06,1,0,0.814
cassava,11.9,1470.52,16.6,41.2,183.3,6.638,25.66,0,0,2.58
cassava,17.03,588.34,20.6,75.8,96.1,9.982,66.56,1,0,3.463
cotton,16.75,109.75,94.6,35.1,202.9,6.969,38.85,1,0,0.888
cassava,15.0,707.26,34.6,41.3,180.1,6.848,76.72,0,0,3.01
cassava,26.06,452.07,123.2,80.8,186.2,3.761,48.19,1,0,5.553
soybeans,10.23,739.17,27.0,92.8,200.9,6.519,84.3,1,0,1.641
cassava,36.88,1052.3,36.3,131.2,90.9,8.792,47.44,1,1,4.605
soybeans,18.46,844.22,11.7,133.1,85.9,6.059,40.04,1,0,1.687
wheat,13.97,1358.27,105.0,134.4,141.6,4.701,40.51,1,1,1.317
maize,28.3,503.72,38.0,88.7,178.2,9.654,23.11,0,1,2.219
soybeans,39.75,820.24,95.6,38.2,92.5,9.065,28.4,0,0,0.807
rice,38.16,1097.35,26.7,66.9,19.3,6.033,77.78,0,0,1.16
maize,26.0,1311.46,18.3,115.7,30.0,8.662,37.72,1,1,1.806
soybeans,26.01,244.73,130.6,130.2,43.0,5.732,66.76,0,0,0.628
rice,10.4,835.92,64.3,74.9,19.4,7.949,57.28,1,0,1.491
wheat,19.78,154.72,98.5,59.0,70.4,4.322,33.48,0,1,1.459
cassava,37.6,668.92,41.1,94.6,88.1,7.365,50.12,0,0,4.154
soybeans,39.31,1205.04,57.8,26.2,162.1,4.293,30.28,0,1,1.055
cassava,11.38,1480.82,36.9,22.7,79.0,8.301,39.28,1,0,3.831
cassava,34.95,941.87,97.6,46.2,114.7,7.621,64.66,1,1,4.605
maize,34.77,464.28,129.8,140.8,119.3,4.43,46.21,1,0,2.451
wheat,34.5,435.18,1.5,26.7,202.1,5.579,23.36,0,0,1.308
soybeans,28.48,324.07,26.9,96.5,15.7,5.537,26.85,1,1,1.882
maize,26.58,589.65,92.6,24.8,119.2,4.704,37.96,0,0,2.483
cassava,13.32,468.83,29.1,60.5,27.2,3.707,70.48,1,1,5.041
wheat,15.78,1155.29,8.5,144.6,109.5,7.038,44.75,1,0,1.271
rice,32.92,409.33,5.1,19.3,150.7,4.798,45.93,1,1,2.641
wheat,12.56,1349.83,137.2,138.6,175.4,9.005,70.85,1,0,1.262
rice,21.49,1261.58,135.4,66.4,83.7,9.003,50.71,1,0,1.339
soybeans,15.78,1048.18,38.1,121.5,21.7,8.525,22.59,1,0,1.52
rice,27.17,1498.85,40.2,44.3,36.9,4.566,38.53,1,1,1.409
wheat,29.26,646.65,48.4,36.1,159.1,8.021,45.02,0,0,1.774
wheat,13.88,867.79,6.8,127.3,166.4,8.605,15.38,0,1,1.365
soybeans,27.75,1114.39,72.1,119.0,149.4,7.498,26.97,1,1,1.387
cotton,16.7,687.87,66.3,84.2,146.1,3.807,20.93,0,0,0.966
rice,15.35,397.09,58.5,40.2,69.1,4.377,39.47,1,0,3.108
soybeans,22.72,788.36,132.3,81.7,195.6,4.672,76.28,1,1,0.749
soybeans,39.7,639.97,1.5,28.8,135.5,7.479,81.76,0,1,1.153
wheat,11.31,69.52,45.5,15.4,165.8,9.983,19.27,1,0,1.296
cassava,20.17,564.46,81.1,107.7,17.6,7.357,95.94,0,1,4.309
rice,25.85,727.53,14.9,95.9,178.6,8.883,67.84,0,0,1.347
soybeans,22.79,928.98,78.1,96.2,35.8,7.702,29.71,1,0,1.283
wheat,18.81,507.94,29.0,62.6,45.6,8.037,24.66,1,0,2.11
cotton,33.38,981.84,131.4,142.5,194.4,8.857,74.68,1,0,1.229
cotton,39.92,1191.74,122.8,109.7,184.1,3.996,93.97,0,1,1.054
cotton,28.41,702.93,45.1,15.8,96.2,8.819,15.46,1,1,1.296
cotton,28.75,471.75,9.1,16.5,30.2,8.933,70.58,0,0,0.815
rice,33.78,962.22,21.4,104.4,140.5,3.659,49.41,0,1,1.118
rice,30.49,1008.05,133.1,107.2,15.4,9.248,88.19,1,1,1.445
wheat,15.02,650.89,52.1,63.5,46.3,4.472,57.79,1,0,1.877
cotton,39.79,315.59,30.0,45.4,200.1,9.924,82.36,1,1,0.948
rice,34.04,926.35,27.8,74.3,153.5,8.508,56.97,0,1,1.069
cotton,38.19,983.79,12.8,7.9,15.2,7.461,66.81,1,0,1.027
cotton,11.26,1131.82,31.2,136.5,102.3,6.401,81.13,1,1,1.074
cotton,21.3,162.68,56.1,88.2,62.4,9.012,26.99,0,0,0.785
rice,25.38,438.27,63.7,70.9,146.3,9.614,42.32,0,0,2.262
rice,39.43,939.88,111.1,17.0,41.7,8.43,15.89,1,0,1.473
cotton,21.94,224.47,41.1,142.0,92.5,6.567,56.88,1,1,0.979
wheat,19.98,562.04,43.2,142.0,191.5,7.234,98.37,1,0,1.984
maize,24.4,920.03,40.8,102.3,177.0,8.569,17.41,1,0,2.065
cassava,20.85,1491.55,15.6,87.6,141.3,9.573,81.1,1,0,2.928
cotton,23.35,1188.39,4.3,87.0,123.9,9.536,38.64,0,0,0.884
cotton,22.87,1105.06,20.1,27.8,37.6,9.291,20.54,1,0,1.097
rice,11.13,875.38,128.9,140.6,113.1,6.478,95.27,1,0,1.181
maize,27.48,1228.09,45.8,47.8,85.5,7.871,72.67,0,0,1.632
soybeans,38.1,1214.53,59.7,93.9,176.3,6.689,32.64,0,0,1.136
soybeans,24.56,563.16,124.8,28.2,34.9,7.25,70.54,0,0,0.78
soybeans,22.55,1396.97,127.5,105.2,181.9,5.578,46.78,1,1,0.615
wheat,11.72,177.94,36.8,56.4,83.7,4.266,33.42,0,0,1.048
maize,24.46,1148.78,39.5,49.5,189.9,3.865,55.76,1,1,2.458
soybeans,12.4,1290.45,12.9,121.8,77.2,7.479,27.15,0,0,0.994
maize,25.21,322.48,10.8,102.5,81.6,8.842,70.72,1,0,1.73
maize,15.02,263.55,136.2,111.3,198.6,6.358,37.94,1,0,2.013
cotton,38.87,676.84,93.2,79.4,15.9,9.693,82.16,0,1,1.164
cotton,17.2,334.79,77.4,127.2,107.2,3.879,62.45,1,0,0.993
rice,20.39,1460.92,137.2,42.6,13.2,8.083,52.78,0,1,1.406
cotton,16.44,186.58,74.5,109.6,87.5,7.856,56.12,1,0,0.963
maize,38.73,628.6,117.6,31.4,139.5,9.851,22.76,0,0,1.743
soybeans,16.09,147.95,24.0,142.8,98.7,9.138,86.99,1,1,1.909
cotton,11.21,149.96,99.9,8.4,121.0,8.963,46.67,0,1,0.734
maize,34.69,1402.43,76.2,33.0,128.4,8.329,77.46,1,0,2.043
soybeans,17.77,1144.06,101.0,24.7,180.4,4.676,82.56,1,0,0.746
wheat,36.64,967.6,101.2,88.6,133.6,7.259,16.31,1,0,1.377
cassava,21.32,509.77,75.0,97.6,145.7,4.389,83.91,1,1,6.544
rice,37.95,179.06,71.6,133.6,185.8,4.517,45.53,1,0,3.494
cassava,31.97,1055.47,110.9,40.9,93.9,7.784,51.82,1,1,4.411
maize,27.75,1068.82,33.2,76.7,25.8,5.999,55.94,1,1,2.623
cassava,33.48,1012.52,95.6,72.4,138.4,4.019,87.23,0,0,3.898
soybeans,34.17,284.34,41.0,100.1,68.1,8.651,25.22,1,0,1.39
soybeans,19.02,878.46,21.0,114.7,71.5,7.344,75.54,1,1,1.694
maize,36.26,488.58,120.2,125.0,157.9,4.454,73.37,1,1,2.609
cotton,22.28,1170.57,56.5,100.7,25.3,4.364,26.02,0,1,1.206
wheat,21.69,337.1,82.3,120.7,14.8,7.38,69.31,1,1,2.232
maize,35.85,1421.87,52.3,42.9,133.8,6.157,16.18,0,1,1.766
rice,34.52,862.35,35.7,41.8,12.9,5.485,78.04,0,0,1.159
rice,25.51,431.88,29.4,88.9,22.8,3.878,46.01,1,1,2.649
rice,17.95,827.48,62.9,66.6,23.2,8.171,32.38,0,0,1.362
soybeans,24.49,482.39,118.3,89.3,95.8,6.152,56.76,0,1,0.899
cotton,33.82,450.03,71.1,84.0,193.6,5.233,94.56,1,1,1.367
cotton,20.72,1439.84,5.3,134.8,41.2,9.431,18.84,1,0,0.865
soybeans,18.9,866.02,34.9,119.4,27.1,8.891,65.83,0,1,1.57
maize,18.7,1313.55,94.2,116.5,55.1,7.562,63.17,1,1,2.457
cassava,33.76,1119.04,126.3,38.1,96.3,4.699,45.93,1,0,3.585
cassava,14.54,1224.94,106.4,72.8,112.6,3.887,61.77,1,1,3.887
rice,24.9,228.81,56.1,54.1,159.6,8.721,27.19,0,0,3.042
cotton,36.42,1350.19,122.0,76.5,136.9,7.162,19.97,1,0,1.308
rice,24.65,82.73,96.2,46.2,117.0,5.456,28.37,1,0,3.084
